GEOID,MeanIncome
17001000100,69254
17001000201,59810
17001000202,58677
17001000400,45784
17001000500,45510
17001000600,85021
17001000700,26516
17001000800,33486
17001000900,61214
17001001001,61793
17001001002,71144
17001001100,89014
17001010100,76840
17001010200,60279
17001010301,84351
17001010302,72978
17001010400,92739
17001010500,107967
17001010600,100360
17003957600,55441
17003957700,56696
17003957800,35534
17003957900,45459
17005951200,73984
17005951300,53557
17005951400,72226
17005951500,84932
17007010101,64948
17007010102,50960
17007010200,55889
17007010300,62471
17007010400,87516
17007010501,168260
17007010502,106310
17007010601,102165
17007010603,127258
17007010604,80004
17009970400,76594
17009970500,57805
17011964700,81355
17011964800,66577
17011964900,62390
17011965000,79699
17011965100,66486
17011965200,63056
17011965300,66338
17011965400,77646
17011965500,70036
17011965600,70509
17013951200,69091
17013951300,91579
17015960100,75504
17015960200,66323
17015960300,55226
17015960400,62359
17015960500,73114
17015960600,81802
17017960100,69484
17017960200,73234
17017960300,72622
17017960400,55896
17017960500,50303
17019000200,27733
17019000301,14733
17019000302,21984
17019000401,10267
17019000402,10894
17019000500,93329
17019000700,43239
17019000800,70850
17019000901,45790
17019000902,76189
17019001000,79674
17019001100,103875
17019001201,57414
17019001203,93012
17019001204,139827
17019001205,136739
17019001206,123268
17019001301,88217
17019001302,118206
17019001400,84154
17019005300,28289
17019005401,43109
17019005402,55775
17019005500,86384
17019005601,58207
17019005602,80135
17019005701,72026
17019005702,103399
17019005800,99833
17019005901,32220
17019005902,17533
17019006000,32329
17019010100,48653
17019010204,64728
17019010300,47484
17019010400,85184
17019010500,120406
17019010601,108300
17019010603,110951
17019010604,90753
17019010701,95465
17019010702,97855
17019010800,105582
17019010901,91153
17019010902,79600
17019011001,56621
17019011002,100998
17019011100,27712
17021958100,76849
17021958200,80530
17021958300,52331
17021958400,60192
17021958500,49364
17021958600,75251
17021958700,67476
17021958800,50523
17021958900,48248
17021959000,91862
17023060100,88242
17023060200,68920
17023060300,61092
17023060400,74617
17025971900,65655
17025972000,58563
17025972100,64844
17025972200,91125
17027900100,95525
17027900200,96275
17027900300,87884
17027900401,64374
17027900403,68857
17027900404,57175
17027900500,65086
17027900601,85010
17027900602,96788
17029000100,62269
17029000200,90717
17029000300,74080
17029000400,46677
17029000500,52250
17029000600,84950
17029000701,73607
17029000702,34410
17029000800,38370
17029000900,104079
17029001000,71386
17029001100,48424
17029001200,67359
17031010100,75017
17031010201,56526
17031010202,57610
17031010300,66120
17031010400,53636
17031010501,54508
17031010502,51533
17031010503,35391
17031010600,85017
17031010701,70575
17031010702,61405
17031020100,76564
17031020200,128515
17031020301,75935
17031020302,133269
17031020400,101628
17031020500,51350
17031020601,84115
17031020602,91426
17031020701,103846
17031020702,70367
17031020801,73905
17031020802,70866
17031020901,60535
17031020902,51431
17031030101,59023
17031030102,63768
17031030103,78005
17031030104,56671
17031030200,102376
17031030300,78973
17031030400,95908
17031030500,117182
17031030601,61406
17031030603,65356
17031030604,73433
17031030701,60873
17031030702,85396
17031030703,68882
17031030706,66596
17031030800,117209
17031030900,119365
17031031000,109583
17031031100,84757
17031031200,49536
17031031300,67251
17031031400,95615
17031031501,51937
17031031502,51076
17031031700,89936
17031031800,114569
17031031900,110565
17031032100,83146
17031040100,113591
17031040201,98543
17031040202,69532
17031040300,99041
17031040401,153630
17031040402,112663
17031040600,142863
17031040700,128931
17031040800,116698
17031040900,112279
17031050100,178648
17031050200,205021
17031050300,171417
17031050500,222229
17031050600,173548
17031050700,185946
17031050800,195150
17031050900,157561
17031051000,156645
17031051100,178941
17031051200,197580
17031051300,245883
17031051400,193219
17031060100,172397
17031060200,173020
17031060300,161650
17031060400,185437
17031060500,118757
17031060800,96827
17031060900,99317
17031061000,130318
17031061100,132166
17031061200,203476
17031061500,179449
17031061800,73250
17031061901,71916
17031061902,106812
17031062000,114059
17031062100,131907
17031062200,200794
17031062300,261458
17031062400,192405
17031062500,218309
17031062600,310639
17031062700,211353
17031062800,270863
17031062900,168717
17031063000,128740
17031063100,124827
17031063200,114992
17031063301,86646
17031063302,101121
17031063303,132704
17031063400,142213
17031070101,131093
17031070102,143230
17031070103,69333
17031070200,148533
17031070300,216550
17031070400,265026
17031070500,224568
17031070600,303998
17031070700,217096
17031071000,280967
17031071100,270943
17031071200,163189
17031071300,164291
17031071400,176917
17031071500,139153
17031071600,258777
17031071700,243880
17031071800,248538
17031080100,181667
17031080201,177522
17031080202,188293
17031080300,175280
17031080400,145410
17031081000,88810
17031081100,124118
17031081201,200638
17031081202,275583
17031081300,153863
17031081401,151735
17031081402,189433
17031081403,160124
17031081500,191480
17031081600,159265
17031081700,152320
17031081800,203563
17031081900,235976
17031090100,143957
17031090200,152115
17031090300,122235
17031100100,143751
17031100200,115141
17031100300,108292
17031100400,118911
17031100500,102071
17031100600,91573
17031100700,115837
17031110100,89645
17031110200,81226
17031110300,97971
17031110400,84775
17031110501,101222
17031110502,81817
17031120100,177723
17031120200,150638
17031120300,186927
17031120400,120160
17031130100,88353
17031130200,110606
17031130300,82823
17031140100,75378
17031140200,80763
17031140301,70106
17031140302,92708
17031140400,108506
17031140500,90179
17031140601,88597
17031140602,81023
17031140701,86144
17031140702,90047
17031140800,114904
17031150200,100164
17031150300,90036
17031150401,85772
17031150402,99717
17031150501,110235
17031150502,92014
17031150600,87707
17031150700,89108
17031150800,99566
17031151001,89487
17031151002,82068
17031151100,84761
17031151200,84311
17031160100,98465
17031160200,144629
17031160300,85836
17031160400,86609
17031160501,84896
17031160502,87201
17031160601,88411
17031160602,89041
17031160700,98764
17031160800,88747
17031160900,110432
17031161000,127898
17031161100,191571
17031161200,84455
17031161300,65138
17031170100,51689
17031170200,97387
17031170300,90145
17031170400,87141
17031170500,101611
17031170600,84343
17031170700,76949
17031170800,85762
17031170900,69578
17031171000,107698
17031171100,93105
17031180100,86401
17031190100,63945
17031190200,80173
17031190300,70077
17031190401,86971
17031190402,68724
17031190601,83849
17031190602,68576
17031190701,67712
17031190702,71054
17031190800,70312
17031190900,61291
17031191000,72565
17031191100,56474
17031191200,56645
17031191301,84850
17031191302,81579
17031200100,78972
17031200200,68443
17031200300,77584
17031200401,63074
17031200402,84082
17031210100,111698
17031210400,72928
17031210501,64910
17031210502,81044
17031210601,106461
17031210602,108581
17031210700,89927
17031210800,87184
17031210900,109783
17031220300,123271
17031220400,120238
17031220500,94636
17031220601,98295
17031220602,74129
17031220701,82370
17031220702,83630
17031220901,76123
17031220902,82445
17031221000,82116
17031221100,92580
17031221200,179042
17031221300,98771
17031221400,122367
17031221500,121261
17031221600,192052
17031222200,218168
17031222500,128026
17031222600,98371
17031222700,78071
17031222800,78500
17031222900,79528
17031230100,112220
17031230200,76190
17031230300,64240
17031230400,69677
17031230500,41913
17031230600,59489
17031230700,54687
17031230800,69033
17031230900,79678
17031231100,78522
17031231200,45081
17031231500,43313
17031240200,210565
17031240300,230967
17031240500,209911
17031240600,187661
17031240700,137147
17031240800,115383
17031240900,71717
17031241000,100277
17031241100,104225
17031241200,132671
17031241300,192581
17031241400,204770
17031241500,195083
17031241600,122198
17031242000,126523
17031242100,168992
17031242200,177516
17031242300,128990
17031242400,116392
17031242500,85907
17031242600,95822
17031242700,90760
17031242800,151204
17031242900,150995
17031243000,119561
17031243100,147679
17031243200,148235
17031243300,154481
17031243400,107931
17031243500,171440
17031250200,72703
17031250300,60246
17031250400,88938
17031250500,106442
17031250600,77424
17031250700,53061
17031250800,53610
17031251000,49123
17031251100,42823
17031251200,65307
17031251300,49455
17031251400,37082
17031251500,67954
17031251600,44557
17031251700,57338
17031251800,35667
17031251900,42099
17031252000,35695
17031252101,72675
17031252102,43456
17031252201,51238
17031252202,46613
17031260100,37808
17031260200,45263
17031260300,29386
17031260400,38421
17031260500,43863
17031260600,43375
17031260700,45331
17031260800,42618
17031260900,32268
17031261000,44836
17031270500,29820
17031271200,54856
17031271300,38068
17031271400,40478
17031271500,52422
17031271800,36721
17031280100,166723
17031280400,76490
17031280800,34065
17031280900,153110
17031281900,133564
17031282700,97922
17031282800,107020
17031283100,66029
17031283200,97851
17031283800,101272
17031290900,45266
17031291200,39291
17031291600,78810
17031292200,51838
17031292400,94351
17031292500,46200
17031300500,63256
17031300600,52197
17031300700,48624
17031300800,32747
17031300900,34947
17031301100,43532
17031301200,54866
17031301600,38554
17031301701,62705
17031301702,59057
17031301801,51350
17031301802,49785
17031301803,50860
17031310200,106084
17031310300,78359
17031310400,81462
17031310500,62866
17031310600,77026
17031310700,58083
17031310800,83306
17031310900,76354
17031320101,224823
17031320102,230462
17031320400,258194
17031320600,127035
17031330101,192433
17031330102,164055
17031330103,110729
17031330200,157455
17031340300,53698
17031340400,70370
17031340500,50429
17031340600,21927
17031350100,74642
17031350400,29194
17031351000,57004
17031351100,24213
17031351400,35904
17031351500,45068
17031360200,42116
17031380100,53080
17031380200,57949
17031380600,48544
17031381200,57496
17031381400,46953
17031381500,40801
17031381700,-
17031381800,53763
17031381900,67644
17031390100,93545
17031390200,125931
17031390300,52093
17031390400,60713
17031390500,112497
17031390600,140963
17031390700,86574
17031400300,46515
17031400400,38678
17031400500,30599
17031400800,23478
17031410100,71809
17031410200,69853
17031410500,87387
17031410600,70726
17031410700,60387
17031410800,55676
17031410900,106493
17031411000,108401
17031411100,159962
17031411200,278300
17031420100,33321
17031420200,50982
17031420300,48444
17031420400,39354
17031420500,39208
17031420600,41254
17031420700,35690
17031420800,54470
17031421200,36984
17031430101,59964
17031430102,49123
17031430200,70308
17031430300,66711
17031430400,43240
17031430500,41566
17031430600,85184
17031430700,55295
17031430800,61597
17031430900,45764
17031431200,67520
17031431301,35000
17031431302,43059
17031431400,45951
17031440101,27764
17031440102,46816
17031440201,61118
17031440202,43338
17031440300,70677
17031440600,78129
17031440700,60765
17031440800,42496
17031440900,64537
17031450300,61527
17031460100,50071
17031460200,34878
17031460301,46530
17031460302,49388
17031460400,57798
17031460500,68107
17031460800,35612
17031461000,30526
17031470100,57022
17031480100,67143
17031480200,56656
17031480300,70995
17031480400,88609
17031480500,69382
17031490200,67878
17031490500,71605
17031490600,59803
17031490700,59316
17031490800,56831
17031490901,44090
17031490902,60341
17031491000,35786
17031491100,59455
17031491200,64392
17031491300,57789
17031491400,45810
17031500100,65437
17031500200,40501
17031500300,58269
17031510100,45069
17031510200,56627
17031510300,48357
17031520100,66614
17031520200,54343
17031520300,57850
17031520400,68431
17031520500,90411
17031520600,74059
17031530100,40213
17031530200,57956
17031530300,53878
17031530400,79249
17031530501,65227
17031530502,64536
17031530503,70487
17031530600,58488
17031540101,34162
17031540102,36142
17031550100,69271
17031550200,70899
17031560100,67543
17031560200,61416
17031560300,66284
17031560400,71266
17031560700,73429
17031560800,100341
17031560900,112067
17031561000,106289
17031561100,100013
17031570100,72484
17031570200,63966
17031570300,64944
17031570400,78653
17031570500,60463
17031580100,54650
17031580200,55640
17031580300,71056
17031580400,71739
17031580501,60724
17031580502,60114
17031580600,59240
17031580700,70097
17031580800,64812
17031590500,74766
17031590600,73346
17031590700,75741
17031600400,76109
17031600600,51888
17031600700,62872
17031600900,71333
17031610300,40109
17031610400,47365
17031610800,69280
17031611200,36046
17031611300,39191
17031611400,41851
17031611500,45908
17031611600,43238
17031611700,29681
17031611800,54401
17031611900,38977
17031612000,44073
17031612100,40327
17031612200,42632
17031620100,86535
17031620200,70299
17031620300,72255
17031620400,68835
17031630300,65085
17031630400,46197
17031630500,53571
17031630600,50349
17031630800,65388
17031630900,47771
17031640100,77286
17031640300,75115
17031640400,84279
17031640500,85279
17031640600,60960
17031640700,70596
17031640800,73449
17031650100,57985
17031650200,82081
17031650301,77688
17031650302,68534
17031650400,62998
17031650500,81036
17031660301,33330
17031660302,44498
17031660400,56582
17031660500,49288
17031660600,45152
17031660700,34086
17031660800,54014
17031660900,50830
17031661000,49132
17031661100,70962
17031670100,30856
17031670200,74315
17031670300,38378
17031670400,39992
17031670500,38423
17031670600,41852
17031670700,44004
17031670800,38249
17031670900,47415
17031671100,30226
17031671200,45436
17031671300,32534
17031671400,38500
17031671500,53532
17031671600,35580
17031671800,76737
